순번,근거,구분,구분2,구분3,구분기호,CAS,기준,기준농도,물질,
특수22,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','78-87-5,용량비,'1%,"22) 1,2-디클로로프로판(1,2-Dichloropropane; 78-87-5)",
특수23,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','75-43-4,용량비,'1%,23) 디클로로플루오로메탄(Dichlorofluoromethane; 75-43-4),
특수24,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','123-31-9,용량비,'1%,24) p-디히드록시벤젠(p-dihydroxybenzene; 123-31-9),
특수25,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','569-61-9,용량비,'1%,25) 마젠타(Magenta; 569-61-9),
특수26,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','67-56-1,용량비,'1%,26) 메탄올(Methanol; 67-56-1),
특수27,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','109-86-4,용량비,'1%,27) 2-메톡시에탄올(2-Methoxyethanol; 109-86-4),
특수28,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','110-49-6,용량비,'1%,28) 2-메톡시에틸 아세테이트(2-Methoxyethyl acetate; 110-49-6) ,
특수29,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','591-78-6,용량비,'1%,29) 메틸 n-부틸 케톤(Methyl n-butyl ketone; 591-78-6),
특수30,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','110-43-0,용량비,'1%,30) 메틸 n-아밀 케톤(Methyl n-amyl ketone; 110-43-0),
특수31,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','78-93-3,용량비,'1%,31) 메틸 에틸 케톤(Methyl ethyl ketone; 78-93-3),
특수32,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','108-10-1,용량비,'1%,32) 메틸 이소부틸 케톤(Methyl isobutyl ketone; 108-10-1),
특수33,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','74-87-3,용량비,'1%,33) 메틸 클로라이드(Methyl chloride; 74-87-3),
특수34,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','71-55-6,용량비,'1%,34) 메틸 클로로포름(Methyl chloroform; 71-55-6),
특수35,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','101-68-8,용량비,'1%,35) 메틸렌 비스(페닐 이소시아네이트)[Methylene bis(phenyl isocyanate); 101-68-8 등],
특수36,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','101-14-4,용량비,'1%,"36) 4,4'-메틸렌 비스(2-클로로아닐린)[4,4'-Methylene bis(2-chloroaniline); 101-14-4]",
특수37,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','583-60-8,용량비,'1%,37) o-메틸시클로헥사논(o-Methylcyclohexanone; 583-60-8),
특수38,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','25639-42-3,용량비,'1%,38) 메틸시클로헥사놀(Methylcyclohexanol; 25639-42-3 등),
특수39,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','108-31-6,용량비,'1%,39) 무수 말레산(Maleic anhydride; 108-31-6),
특수40,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','85-44-9,용량비,'1%,40) 무수 프탈산(Phthalic anhydride; 85-44-9),
특수41,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','71-43-2,용량비,'1%,41) 벤젠(Benzene; 71-43-2),
특수42,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','92-87-5,용량비,'1%,42) 벤지딘 및 그 염(Benzidine and its salts; 92-87-5),
특수43,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','106-99-0,용량비,'1%,"43) 1,3-부타디엔(1,3-Butadiene; 106-99-0)",
특수44,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','71-36-3,용량비,'1%,44) n-부탄올(n-Butanol; 71-36-3) ,
특수45,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','78-92-2,용량비,'1%,45) 2-부탄올(2-Butanol; 78-92-2),
특수46,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','111-76-2,용량비,'1%,46) 2-부톡시에탄올(2-Butoxyethanol; 111-76-2),
특수47,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','112-07-2,용량비,'1%,47) 2-부톡시에틸 아세테이트(2-Butoxyethyl acetate; 112-07-2),
특수48,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','106-94-5,용량비,'1%,48) 1-브로모프로판(1-Bromopropane; 106-94-5),
특수49,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','75-26-3,용량비,'1%,49) 2-브로모프로판(2-Bromopropane; 75-26-3),
특수50,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','74-83-9,용량비,'1%,50) 브롬화 메틸(Methyl bromide; 74-83-9),
특수51,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','542-88-1,용량비,'1%,51) 비스(클로로메틸) 에테르(bis(Chloromethyl) ether; 542-88-1),
특수52,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','56-23-5,용량비,'1%,52) 사염화탄소(Carbon tetrachloride; 56-23-5),
특수53,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','8052-41-3,용량비,'1%,53) 스토다드 솔벤트(Stoddard solvent; 8052-41-3),
특수54,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','100-42-5,용량비,'1%,54) 스티렌(Styrene; 100-42-5),
특수55,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','108-94-1,용량비,'1%,55) 시클로헥사논(Cyclohexanone; 108-94-1),
특수56,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','108-93-0,용량비,'1%,56) 시클로헥사놀(Cyclohexanol; 108-93-0),
특수57,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','110-82-7,용량비,'1%,57) 시클로헥산(Cyclohexane; 110-82-7),
특수58,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','110-83-8,용량비,'1%,58) 시클로헥센(Cyclohexene; 110-83-8),
특수59,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','62-53-3,용량비,'1%,59) 아닐린[62-53-3] 및 그 동족체(Aniline and its homologues),
특수60,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','75-05-8,용량비,'1%,60) 아세토니트릴(Acetonitrile; 75-05-8),
특수61,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','67-64-1,용량비,'1%,61) 아세톤(Acetone; 67-64-1),
특수62,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','75-07-0,용량비,'1%,62) 아세트알데히드(Acetaldehyde; 75-07-0),
특수63,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','492-80-8,용량비,'1%,63) 아우라민(Auramine; 492-80-8),
특수64,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','107-13-1,용량비,'1%,64) 아크릴로니트릴(Acrylonitrile; 107-13-1),
특수65,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','79-06-1,용량비,'1%,65) 아크릴아미드(Acrylamide; 79-06-1),
특수66,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','110-80-5,용량비,'1%,66) 2-에톡시에탄올(2-Ethoxyethanol; 110-80-5),
특수67,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','111-15-9,용량비,'1%,67) 2-에톡시에틸 아세테이트(2-Ethoxyethyl acetate; 111-15-9),
특수68,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','100-41-4,용량비,'1%,68) 에틸 벤젠(Ethyl benzene; 100-41-4),
특수69,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','140-88-5,용량비,'1%,69) 에틸 아크릴레이트(Ethyl acrylate; 140-88-5),
특수70,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','107-21-1,용량비,'1%,70) 에틸렌 글리콜(Ethylene glycol; 107-21-1),
특수71,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','628-96-6,용량비,'1%,71) 에틸렌 글리콜 디니트레이트(Ethylene glycol dinitrate; 628-96-6),
특수72,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','107-07-3,용량비,'1%,72) 에틸렌 클로로히드린(Ethylene chlorohydrin; 107-07-3),
특수73,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','151-56-4,용량비,'1%,73) 에틸렌이민(Ethyleneimine; 151-56-4),
특수74,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','556-52-5,용량비,'1%,"74) 2,3-에폭시-1-프로판올(2,3-Epoxy-1-propanol; 556-52-5 등)",
특수75,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','106-89-8,용량비,'1%,75) 에피클로로히드린(Epichlorohydrin; 106-89-8 등),
특수76,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','53469-21-9|||11097-69-1,용량비,'1%,"76) 염소화비페닐(Polychlorobiphenyls; 53469-21-9, 11097-69-1)",
특수77,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','74-88-4,용량비,'1%,77) 요오드화 메틸(Methyl iodide; 74-88-4),
특수78,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','78-83-1,용량비,'1%,78) 이소부틸 알코올(Isobutyl alcohol; 78-83-1),
특수79,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','123-92-2,용량비,'1%,79) 이소아밀 아세테이트(Isoamyl acetate; 123-92-2),
특수80,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','123-51-3,용량비,'1%,80) 이소아밀 알코올(Isoamyl alcohol; 123-51-3),
특수81,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','67-63-0,용량비,'1%,81) 이소프로필 알코올(Isopropyl alcohol; 67-63-0),
특수82,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','75-15-0,용량비,'1%,82) 이황화탄소(Carbon disulfide; 75-15-0),
특수83,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','8007-45-2,용량비,'1%,83) 콜타르(Coal tar; 8007-45-2),
특수84,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','1319-77-3,용량비,'1%,84) 크레졸(Cresol; 1319-77-3 등),
특수85,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','1330-20-7,용량비,'1%,85) 크실렌(Xylene; 1330-20-7 등),
특수86,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','107-30-2,용량비,'1%,86) 클로로메틸 메틸 에테르(Chloromethyl methyl ether; 107-30-2),
특수87,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','108-90-7,용량비,'1%,87) 클로로벤젠(Chlorobenzene; 108-90-7),
특수88,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','8006-64-2,용량비,'1%,88) 테레빈유(Turpentine oil; 8006-64-2),
특수89,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','79-34-5,용량비,'1%,"89) 1,1,2,2-테트라클로로에탄(1,1,2,2-Tetrachloroethane; 79-34-5)",
특수90,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','109-99-9,용량비,'1%,90) 테트라히드로푸란(Tetrahydrofuran; 109-99-9),
특수91,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','108-88-3,용량비,'1%,91) 톨루엔(Toluene; 108-88-3),
특수92,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','584-84-9,용량비,'1%,"92) 톨루엔-2,4-디이소시아네이트(Toluene-2,4-diisocyanate; 584-84-9 등)",
특수93,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','91-08-7,용량비,'1%,"93) 톨루엔-2,6-디이소시아네이트(Toluene-2,6-diisocyanate; 91-08-7 등)",
특수94,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','67-66-3,용량비,'1%,94) 트리클로로메탄(Trichloromethane; 67-66-3),
특수95,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','79-00-5,용량비,'1%,"95) 1,1,2-트리클로로에탄(1,1,2-Trichloroethane; 79-00-5)",
특수96,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','79-01-6,용량비,'1%,96) 트리클로로에틸렌(Trichloroethylene(TCE); 79-01-6),
특수97,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','96-18-4,용량비,'1%,"97) 1,2,3-트리클로로프로판(1,2,3-Trichloropropane; 96-18-4)",
특수98,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','127-18-4,용량비,'1%,98) 퍼클로로에틸렌(Perchloroethylene; 127-18-4),
특수99,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','108-95-2,용량비,'1%,99) 페놀(Phenol; 108-95-2),
특수100,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','87-86-5,용량비,'1%,100) 펜타클로로페놀(Pentachlorophenol; 87-86-5),
특수101,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','50-00-0,용량비,'1%,101) 포름알데히드(Formaldehyde; 50-00-0),
특수102,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','57-57-8,용량비,'1%,102) β-프로피오락톤(β-Propiolactone; 57-57-8),
특수103,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','91-15-6,용량비,'1%,103) o-프탈로디니트릴(o-Phthalodinitrile; 91-15-6),
특수104,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','110-86-1,용량비,'1%,104) 피리딘(Pyridine; 110-86-1),
특수105,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','822-06-0,용량비,'1%,105) 헥사메틸렌 디이소시아네이트(Hexamethylene diisocyanate; 822-06-0),
특수106,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','110-54-3,용량비,'1%,106) n-헥산(n-Hexane; 110-54-3),
특수107,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','142-82-5,용량비,'1%,107) n-헵탄(n-Heptane; 142-82-5),
특수108,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','77-78-1,용량비,'1%,108) 황산 디메틸(Dimethyl sulfate; 77-78-1),
특수109,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','302-01-2,용량비,'1%,109) 히드라진(Hydrazine; 302-01-2),
특수110,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','7440-50-8,중량비,'1%,"1) 구리(Copper; 7440-50-8)(분진, 미스트, 흄)",
특수111,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','7439-92-1,중량비,'1%,2) 납[7439-92-1] 및 그 무기화합물(Lead and its inorganic compounds),
특수112,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','7440-02-0|||13463-39-3,중량비,'1%,"3) 니켈[7440-02-0] 및 그 무기화합물, 니켈 카르보닐[13463-39-3](Nickel and its inorganic compounds, Nickel carbonyl)",
특수113,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','7439-96-5,중량비,'1%,4) 망간[7439-96-5] 및 그 무기화합물(Manganese and its inorganic compounds),
특수114,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','78-00-2,중량비,'1%,5) 사알킬납(Tetraalkyl lead; 78-00-2 등),
특수115,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','1314-13-2,중량비,'1%,"6) 산화아연(Zinc oxide; 1314-13-2)(분진, 흄) ",
특수116,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','1309-37-1,중량비,'1%,"7) 산화철(Iron oxide; 1309-37-1 등)(분진, 흄)",
특수117,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','1327-53-3,중량비,'1%,8) 삼산화비소(Arsenic trioxide; 1327-53-3),
특수118,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','7439-97-6,중량비,'1%,9) 수은[7439-97-6] 및 그 화합물(Mercury and its compounds),
특수119,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','7440-36-0,중량비,'1%,10) 안티몬[7440-36-0] 및 그 화합물(Antimony and its compounds),
특수120,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','7429-90-5,중량비,'1%,11) 알루미늄[7429-90-5] 및 그 화합물(Aluminum and its compounds),
특수121,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','1314-62-1,중량비,'1%,"12) 오산화바나듐(Vanadium pentoxide; 1314-62-1)(분진, 흄)",
특수122,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','7553-56-2,중량비,'1%,13) 요오드[7553-56-2] 및 요오드화물(Iodine and iodides),
특수123,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','7440-74-6,중량비,'1%,14) 인듐[7440-74-6] 및 그 화합물(Indium and its compounds),
특수124,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','7440-31-5,중량비,'1%,15) 주석[7440-31-5] 및 그 화합물(Tin and its compounds),
특수125,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','7440-67-7,중량비,'1%,16) 지르코늄[7440-67-7] 및 그 화합물(Zirconium and its compounds),
특수126,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','7440-43-9,중량비,'1%,17) 카드뮴[7440-43-9] 및 그 화합물(Cadmium and its compounds),
특수127,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','7440-48-4,중량비,'1%,"18) 코발트(Cobalt; 7440-48-4)(분진, 흄)",
특수128,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','7440-47-3,중량비,'1%,19) 크롬[7440-47-3] 및 그 화합물(Chromium and its compounds),
특수129,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,금속류,','7440-33-7,중량비,'1%,20) 텅스텐[7440-33-7] 및 그 화합물(Tungsten and its compounds),
특수130,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,산 및 알칼리류,','108-24-7,중량비,'1%,1) 무수 초산(Acetic anhydride; 108-24-7),
특수131,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,산 및 알칼리류,','7664-39-3,중량비,'1%,2) 불화수소(Hydrogen fluoride; 7664-39-3),
특수132,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,산 및 알칼리류,','143-33-9,중량비,'1%,3) 시안화 나트륨(Sodium cyanide; 143-33-9),
특수133,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,산 및 알칼리류,','151-50-8,중량비,'1%,4) 시안화 칼륨(Potassium cyanide; 151-50-8),
특수134,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,산 및 알칼리류,','7647-01-0,중량비,'1%,5) 염화수소(Hydrogen chloride; 7647-01-0),
특수135,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,산 및 알칼리류,','7697-37-2,중량비,'1%,6) 질산(Nitric acid; 7697-37-2),
특수136,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,산 및 알칼리류,','76-03-9,중량비,'1%,7) 트리클로로아세트산(Trichloroacetic acid; 76-03-9),
특수137,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,산 및 알칼리류,','7664-93-9,중량비,'1%,8) 황산(Sulfuric acid; 7664-93-9),
특수138,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,가스 상태 물질류,','7782-41-4,용량비,'1%,1) 불소(Fluorine; 7782-41-4),
특수139,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,가스 상태 물질류,','7726-95-6,용량비,'1%,2) 브롬(Bromine; 7726-95-6),
특수140,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,가스 상태 물질류,','75-21-8,용량비,'1%,3) 산화에틸렌(Ethylene oxide; 75-21-8),
특수141,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,가스 상태 물질류,','7784-42-1,용량비,'1%,4) 삼수소화 비소(Arsine; 7784-42-1),
특수142,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,가스 상태 물질류,','74-90-8,용량비,'1%,5) 시안화 수소(Hydrogen cyanide; 74-90-8),
